	word	cos_from_median	target_word
119482	saunter	0.2826116930056993	True
102597	scamper	0.3089330601474515	True
268339	sidle	0.32825083688821144	False
82870	scurry	0.3407253292588137	True
102471	amble	0.3417737350880734	True
119949	prance	0.3441036610221767	True
203001	sashay	0.3442379888302136	True
59508	scoot	0.34903701646970875	True
206836	skitter	0.34988117950676767	True
92822	slither	0.35183897035703937	True
200246	careen	0.352430587735452	True
146133	clamber	0.35936608178759644	True
161520	cavort	0.36137471444182334	False
194744	traipse	0.36418460415653786	True
173238	mosey	0.37306987548279913	True
32227	stomp	0.3777387313709404	True
177225	toddle	0.3787458919209371	True
23081	glide	0.38142918261607905	True
53699	meander	0.3825624290585541	True
88933	waddle	0.383224373299755	True
86301	wriggle	0.385481550579996	True
124271	slink	0.38566895109673305	True
192473	skulk	0.38769400650993635	True
14896	stroll	0.38843702692013193	True
398831	clomp	0.39031796233481875	True
48201	twirl	0.3903429055970439	True
108399	tiptoe	0.3934126964556318	True
218590	gambol	0.3971320201232139	True
153487	hurtle	0.39893254908650433	True
49258	frolic	0.3995390203989494	True
159526	totter	0.39989058025449864	True
128885	ambling	0.40204953728155013	False
92772	flit	0.40296581030228273	True
84559	trudge	0.40433015127496397	True
65842	shimmy	0.40439702653314713	True
52432	gallop	0.4076267465619645	True
509803	perambulate	0.4124430124008034	False
13786	wander	0.41313786772115535	True
811	walk	0.4133290837401915	True
49396	lunge	0.41357197161210635	True
163943	undulate	0.4177734276230698	True
30323	wiggle	0.41898951273285023	True
13614	crawl	0.4195988670037132	True
137528	dawdle	0.42121824298750465	True
20352	stumble	0.4215002201987862	True
2494	jump	0.42161971289285605	True
105465	plod	0.4241598444298744	True
239495	tromp	0.4248537332676847	True
211624	tip-toe	0.4248590808584283	False
23181	tumble	0.42605904306998743	True
29460	fling	0.42632138616146964	False
674821	rollick	0.42660236051496914	False
120744	slosh	0.4283389899127593	True
31267	trot	0.4284258047731676	True
177334	slinking	0.4315811863867266	False
72699	scuttle	0.43216186299751314	True
47630	jaunt	0.43323349066620265	False
38376	yank	0.43621648218354625	False
80254	pummel	0.43641603827313025	False
55240	plop	0.4376749508623653	True
21494	descend	0.43914118505425415	False
38007	waltz	0.44046525714360507	True
166779	gyrate	0.4404986109260447	False
81115	hobble	0.4406966437888403	True
587908	maraud	0.44088155282159114	False
505158	scootch	0.44134270058694347	False
170965	sauntering	0.4429604746122777	False
119702	pirouette	0.44368996363567104	True
130311	loping	0.4446259578501083	False
254644	straggle	0.4449947588309904	True
136853	skittering	0.44642499732567853	False
41851	hurl	0.4471091706768523	False
217948	shamble	0.4474268164922084	True
384997	tap-dance	0.44755043747988565	False
264222	pirouetting	0.44871139893250667	False
397390	gallivant	0.4492573644809644	True
484259	lollygag	0.44966548769788683	False
88423	lurching	0.4497016039198046	False
47056	heave	0.4505543321308306	False
48020	stagger	0.4506923513439134	True
12463	drift	0.450939364589536	True
21868	jog	0.45121032918204806	True
63811	chug	0.4520681615671752	False
97514	jostle	0.45209947716345544	False
40169	swoop	0.4529851932943977	True
32672	romp	0.4531234077648495	True
419579	scarper	0.4533281073475841	False
674262	tippy-toe	0.45357245967457416	False
