	word	cos_from_median	target_word
578453	trippelen	0.26117824799630174	True
10817	rennen	0.26999711039250107	True
312800	sjokken	0.27775157129221173	True
227019	strompelen	0.28898915788880053	True
520691	huppen	0.29156053250745073	False
982792	strompelden	0.2941118691334894	False
702	lopen	0.29621343336678485	True
947934	uithijgen	0.29829969735715367	False
186887	schuifelen	0.3118915642166469	True
254216	waggelen	0.3276817222707833	True
17885	glijden	0.32775108304054434	True
69470	hollen	0.32791356443536923	True
550210	jakkeren	0.3282031222451889	True
510436	afrennen	0.33062358006281556	False
15062	kruipen	0.3338851364390655	True
485069	drentelen	0.3350430549611173	True
884292	heentrekken	0.3351362001529039	False
779976	schuifelden	0.3355633268908452	False
614947	huppelden	0.34262565426881453	False
724165	wegzwemmen	0.34263072281979245	False
690823	verschrikken	0.342733534148038	False
727993	rondhobbelen	0.34363345052196625	False
61431	klauteren	0.34543353779631825	True
487395	tijgeren	0.3481807652633726	False
431172	afstormen	0.3493163592348618	True
951341	uitwandelen	0.34996259244220107	False
105638	huppelen	0.35030641250925365	True
932991	rondlummelen	0.3506279120990027	True
701105	hippen	0.35098867041967474	True
963458	spieden	0.351803752396175	False
673268	kronkelden	0.3536701638445221	False
202510	banjeren	0.3549168414156677	True
531900	wegglippen	0.3554392389995792	False
459667	rondspringen	0.3559491884689464	False
564945	wriemelen	0.35707781614267653	True
566043	wegzweven	0.357685531420568	False
736250	uitduwen	0.35876484294427347	False
313140	glibberen	0.3599353993828721	True
783930	doorrennen	0.3602060844731553	False
15583	duwen	0.36028945874271645	False
565398	rondtollen	0.3604161988819238	False
398674	flapperen	0.36070373828741975	False
3279	wandelen	0.36123458486934545	True
281188	kletteren	0.36123789506887494	False
596255	schuifelend	0.3621976274595323	False
345488	schrijden	0.36286922213657535	True
5398	springen	0.36357382354050105	False
603016	opduwen	0.3643814333707519	False
113766	hobbelen	0.36609517217626786	False
438324	voortduwen	0.3661662550026802	False
3645	bewegen	0.36639067393582114	False
669643	oprennen	0.3672505729583747	False
386361	uitschudden	0.36732229226185875	False
9816	jagen	0.3675671456252312	False
324926	zwalken	0.36760259888565794	True
114055	kronkelen	0.3688501351136292	True
729863	uitrennen	0.3690244590711874	False
758877	verkleumen	0.3707180953582063	False
783368	lopen.En	0.3720480417538006	False
245917	wegduiken	0.37209454051900015	False
482982	verzitten	0.37219220045967005	False
364158	rondkruipen	0.3729153070036898	False
133	gaan	0.37296952089275204	True
872626	sjokten	0.37396015928751036	False
583482	briesen	0.3749807328120013	False
689337	klauterden	0.37508139627711434	False
396352	opschrikken	0.3755983544012045	False
785838	stilhangen	0.3758285555007679	False
754130	geinen	0.375854650775416	False
849331	rondbanjeren	0.3761487271799421	False
234321	zwiepen	0.37615399805269567	True
488620	kwekken	0.3767925239264831	False
553	zitten	0.37721782934321324	False
986097	buitenstaan	0.37794122812105735	False
239626	duikelen	0.3781410818737476	False
250263	koekeloeren	0.3784132709672742	False
309524	rondhuppelen	0.37876626361913335	False
846837	sjeezen	0.37890111211880284	False
335966	uitrazen	0.37892780478251076	False
176948	spartelen	0.37896273067222697	False
482321	wervelen	0.37915932942261266	False
620649	kirren	0.3791593348697201	False
195389	opspringen	0.3793204749264172	False
951184	uitschoppen	0.37946329114850086	False
710106	vertrappelen	0.379553554593572	False
794775	stoempen	0.37968740369298815	False
674637	vermannen	0.37975291508842124	False
380269	verroeren	0.3801128280563758	False
691977	schuifel	0.3801998480147344	False
727346	aanwandelen	0.3815669644016615	False
737989	hobbelden	0.3817505012633069	False
659025	blaften	0.38182889992090974	False
360724	schuddend	0.38219260506750274	False
77333	stuiteren	0.3822904487497645	True
770065	omduwen	0.3823941389463752	False
26563	zwaaien	0.3824192362586767	False
923735	kuierlatten	0.382462263685146	False
829872	slapenden	0.38268840369986634	False
350865	sjezen	0.38273063023071685	True
620456	inkruipen	0.3829312506101904	False
553164	beloeren	0.38319472979878677	False
1563	trekken	0.38349124972152937	True
127765	wiebelen	0.3844197185731656	False
180195	tuimelen	0.3845755932384056	True
334937	buffelen	0.3847291125711064	False
322940	hinkelen	0.38473707886077	True
9635	klimmen	0.3847615808617978	True
296750	raggen	0.3847978781438297	True
559911	floepen	0.3849020837445146	False
886915	sakkeren	0.3850858391073395	False
792595	pruilen	0.3853788358256188	False
499896	uitzweten	0.3857758641777588	False
708181	opgesprongen	0.3858166189012534	False
581904	scharrelden	0.38611454442385673	False
277099	wegduwen	0.38622430700613797	False
872752	prakkiseren	0.3871110942105246	False
650257	aanrollen	0.3871919018184068	False
506634	hoofdschudden	0.3877575037082285	False
568878	vlijen	0.38781281355732455	False
385136	uitpuffen	0.38787752393465125	False
307527	meetrekken	0.38809612527827964	False
723693	watertrappelen	0.38831082092789915	False
1112	heen	0.3889106271337802	False
978777	wegsluipen	0.39000772689028773	False
755350	rondsjouwen	0.39012899342556306	False
40126	slingeren	0.3902452061192839	False
550938	sjeest	0.39028010193614426	False
657848	keilen	0.3904188198292824	False
765575	zwalpen	0.390428288769731	True
915158	lazeren	0.39060951420526224	False
357315	verrekken	0.39114141276417647	False
825601	ronddartelen	0.39136161241127077	False
312485	joelen	0.391647570387592	False
312827	dommelen	0.3920225154897662	False
641359	opstakels	0.3923046014652577	False
570470	aanstoten	0.3923831022891623	False
225016	modderen	0.39259689636696715	False
795569	krulden	0.39293062912729193	False
355499	schuifelt	0.3933440211048038	False
616840	keffen	0.39339565568357604	False
